id,category,badge_label,korean_term,english_term,acronym,short_definition,detailed_definition,example,related_terms,source_1_name,source_1_url,source_2_name,source_2_url,verification_note,confidence,audit_status
SEO-001,검색 기본,SEO,검색엔진최적화,Search Engine Optimization,SEO,검색엔진이 콘텐츠를 이해하고 사용자가 찾게 만드는 최적화 활동.,"검색엔진이 콘텐츠를 이해하고 사용자가 찾게 만드는 최적화 활동. 실무에서는 검색 기본 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",사이트 구조와 콘텐츠를 개선해 자연 검색 노출을 높임.,검색엔진;크롤링;색인,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Central - Search Essentials,https://developers.google.com/search/docs/essentials,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-002,검색 기본,SEO,검색엔진 결과 페이지,Search Engine Results Page,SERP,사용자 검색 후 검색엔진이 결과와 기능을 보여주는 화면.,"사용자 검색 후 검색엔진이 결과와 기능을 보여주는 화면. 실무에서는 검색 기본 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.","파란 링크, 광고, 이미지, AI Overview가 함께 표시됨.",스니펫;리치 결과;AI Overview,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Central - Snippets,https://developers.google.com/search/docs/appearance/snippet,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-003,검색 기본,SEO,자연 검색,Organic Search,,광고가 아닌 검색 결과를 통해 발생하는 발견과 방문.,"광고가 아닌 검색 결과를 통해 발생하는 발견과 방문. 실무에서는 검색 기본 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",블로그 글이 광고 없이 검색 결과에서 클릭됨.,SEO;검색 트래픽;SERP,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-004,검색 기본,SEO,검색 쿼리,Search Query,,사용자가 검색창이나 AI 검색에 입력하는 단어와 문장.,"사용자가 검색창이나 AI 검색에 입력하는 단어와 문장. 실무에서는 검색 기본 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",반품 기간이 얼마나 걸려요라고 검색.,키워드;검색 의도;대화형 쿼리,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Search Central - Optimizing for Generative AI Search,https://developers.google.com/search/docs/fundamentals/ai-optimization-guide,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-005,검색 기본,SEO,키워드,Keyword,,사용자가 정보를 찾을 때 쓰는 핵심 단어나 구문.,"사용자가 정보를 찾을 때 쓰는 핵심 단어나 구문. 실무에서는 검색 기본 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.","러닝화 추천, 세금 신고 방법.",키워드 리서치;롱테일 키워드;검색 의도,Google Search Central - Search Essentials,https://developers.google.com/search/docs/essentials,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-006,검색 기본,SEO,롱테일 키워드,Long-tail Keyword,,구체적이고 길어 의도가 뚜렷한 검색어.,"구체적이고 길어 의도가 뚜렷한 검색어. 실무에서는 검색 기본 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",초보자용 무릎 보호 러닝화 추천.,헤드 키워드;전환;검색 의도,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-007,콘텐츠 전략,SEO,키워드 리서치,Keyword Research,,사용자 수요와 표현을 파악해 콘텐츠 주제를 정하는 조사.,"사용자 수요와 표현을 파악해 콘텐츠 주제를 정하는 조사. 실무에서는 콘텐츠 전략 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",Search Console 쿼리로 새 가이드 주제 선정.,검색 쿼리;검색량;콘텐츠 갭,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-008,콘텐츠 전략,SEO,검색 의도,Search Intent,,사용자가 검색으로 실제 해결하려는 목적.,"사용자가 검색으로 실제 해결하려는 목적. 실무에서는 콘텐츠 전략 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.","가격 비교, 사용법 확인, 구매 페이지 찾기.",정보형 의도;거래형 의도;AEO,"Google Search Central - Helpful, Reliable, People-first Content",https://developers.google.com/search/docs/fundamentals/creating-helpful-content,Google Search Central - Optimizing for Generative AI Search,https://developers.google.com/search/docs/fundamentals/ai-optimization-guide,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-009,콘텐츠 전략,SEO,정보형 의도,Informational Intent,,"지식, 설명, 방법을 얻으려는 검색 목적.","지식, 설명, 방법을 얻으려는 검색 목적. 실무에서는 콘텐츠 전략 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",robots.txt가 뭐야를 검색.,AEO;답변형 콘텐츠;검색 의도,"Google Search Central - Helpful, Reliable, People-first Content",https://developers.google.com/search/docs/fundamentals/creating-helpful-content,Google Search Central - Optimizing for Generative AI Search,https://developers.google.com/search/docs/fundamentals/ai-optimization-guide,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
SEO-010,콘텐츠 전략,SEO,탐색형 의도,Navigational Intent,,특정 사이트나 브랜드 페이지로 이동하려는 검색 목적.,"특정 사이트나 브랜드 페이지로 이동하려는 검색 목적. 실무에서는 콘텐츠 전략 맥락에서 검색엔진, 답변 엔진, 생성형 검색 시스템이 콘텐츠를 발견·이해·표시하는 방식과 연결해 관리한다.",Google Search Console 로그인 검색.,브랜드 검색;사이트링크;검색 의도,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Central - Snippets,https://developers.google.com/search/docs/appearance/snippet,"공식 검색엔진 문서와 구조화 데이터/분석 문서의 정의와 적용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
