id,category,badge_label,korean_term,english_term,acronym,short_definition,detailed_definition,example,related_terms,source_1_name,source_1_url,source_2_name,source_2_url,verification_note,confidence,audit_status
AI-001,기초 개념,AI 기본,인공지능,Artificial Intelligence,AI,사람의 지능이 필요한 일을 기계가 수행하도록 만드는 기술 분야.,"추론, 인식, 예측, 생성, 의사결정처럼 인간 지능과 관련된 작업을 컴퓨터 시스템으로 구현하는 넓은 개념이다.","이미지 판독, 번역, 추천, 챗봇 응답 생성.",머신러닝;딥러닝;생성형 AI,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-002,기초 개념,AI 기본,머신러닝,Machine Learning,ML,데이터에서 패턴을 학습해 예측이나 판단 성능을 높이는 AI 방법.,명시적으로 모든 규칙을 코딩하기보다 데이터와 알고리즘으로 모델을 학습시켜 새 입력에 대해 예측하게 한다.,거래 데이터를 학습해 사기 거래를 분류.,데이터셋;모델;학습,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-003,기초 개념,AI 기본,딥러닝,Deep Learning,DL,여러 층의 신경망으로 복잡한 패턴을 학습하는 머신러닝 기법.,"인공신경망의 여러 은닉층을 사용해 이미지, 음성, 텍스트 같은 비정형 데이터의 고수준 특징을 학습한다.",사진에서 객체를 인식하거나 음성을 텍스트로 변환.,신경망;CNN;Transformer,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-004,생성형 AI,AI 기본,생성형 AI,Generative AI,GenAI,"텍스트, 이미지, 음성 등 새로운 콘텐츠를 만들어내는 AI.",대규모 데이터에서 분포와 패턴을 학습해 사용자의 입력 조건에 맞는 새 산출물을 생성하는 모델과 시스템을 말한다.,프롬프트를 입력하면 이메일 초안이나 이미지를 생성.,LLM;확산 모델;멀티모달,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-005,생성형 AI,AI 기본,파운데이션 모델,Foundation Model,,대규모 데이터로 사전학습되어 여러 작업에 재사용되는 범용 모델.,"범용 표현을 학습한 뒤 프롬프트, 미세조정, 도구 연결 등을 통해 다양한 하위 업무에 적용되는 기반 모델이다.","하나의 언어 모델을 요약, 분류, 질의응답에 활용.",사전학습;미세조정;LLM,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-006,생성형 AI,AI 기본,대규모 언어모델,Large Language Model,LLM,방대한 텍스트로 학습해 언어를 이해하고 생성하는 모델.,"토큰 시퀀스의 확률적 패턴을 학습해 문장 생성, 요약, 번역, 코드 작성, 질의응답을 수행하는 언어 모델이다.",챗봇이 질문에 자연어로 답변.,토큰;프롬프트;문맥창,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,Brown et al. - Language Models are Few-Shot Learners,https://arxiv.org/abs/2005.14165,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-007,생성형 AI,AI 기술,대규모 멀티모달 모델,Large Multimodal Model,LMM,"텍스트뿐 아니라 이미지, 음성, 영상 등 여러 입력 양식을 함께 처리하는 대형 모델.","언어와 시각 등 서로 다른 모달리티를 같은 추론 흐름에서 결합해 이해, 생성, 검색, 질의응답에 활용한다.",이미지와 질문을 함께 넣어 장면을 설명.,멀티모달;비전-언어 모델;임베딩,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,OpenAI API - Retrieval,https://developers.openai.com/api/docs/guides/retrieval,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-008,생성형 AI,AI 기본,멀티모달,Multimodal,,"텍스트, 이미지, 음성, 영상 등 여러 형태의 데이터를 함께 다루는 능력.",단일 모달리티가 아닌 여러 데이터 표현을 입력 또는 출력으로 통합해 더 풍부한 이해와 생성을 수행한다.,사진을 보고 텍스트 설명을 생성하거나 음성 명령으로 이미지를 분석.,비전-언어 모델;음성 인식;이미지 생성,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-009,기초 개념,AI 기술,자연어 처리,Natural Language Processing,NLP,"사람의 언어를 컴퓨터가 분석, 이해, 생성하도록 하는 분야.","텍스트나 음성 언어를 토큰화, 임베딩, 분류, 생성 등의 방식으로 처리하는 AI 분야다.","문서 요약, 감성 분석, 번역.",LLM;토큰화;의미 검색,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-010,기초 개념,AI 기술,컴퓨터 비전,Computer Vision,CV,"이미지와 영상에서 객체, 장면, 패턴을 인식하는 AI 분야.","픽셀 기반 데이터를 모델 입력으로 사용해 분류, 탐지, 분할, 추적 같은 시각 인식 작업을 수행한다.",공장 카메라로 불량품 탐지.,CNN;객체 탐지;멀티모달,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-011,기초 개념,AI 기술,음성 인식,Speech Recognition,ASR,사람의 음성을 텍스트나 명령으로 변환하는 기술.,"오디오 신호에서 음소, 단어, 문맥을 추정해 자동 전사나 음성 인터페이스에 활용한다.",회의 녹음을 자동 회의록으로 변환.,음성 합성;멀티모달;자연어 처리,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-012,머신러닝,AI 기술,분류,Classification,,입력 데이터를 미리 정한 범주 중 하나로 나누는 예측 작업.,레이블이 있는 데이터로 결정 경계를 학습해 새 샘플의 클래스를 예측한다.,이메일을 스팸과 정상으로 분류.,정확도;정밀도;재현율,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-013,머신러닝,AI 기술,회귀,Regression,,연속적인 숫자 값을 예측하는 머신러닝 작업.,"입력 특성과 목표 변수 사이의 관계를 학습해 가격, 수요, 점수처럼 수치형 결과를 예측한다.",주택 특성으로 예상 매매가 예측.,손실 함수;평균제곱오차;지도학습,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-014,머신러닝,AI 기술,군집화,Clustering,,레이블 없이 비슷한 데이터끼리 묶는 비지도학습 방법.,데이터 간 거리나 밀도 구조를 이용해 유사한 샘플을 같은 그룹으로 배정한다.,고객 행동 패턴별 세그먼트 생성.,비지도학습;임베딩;이상 탐지,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-015,머신러닝,AI 기술,이상 탐지,Anomaly Detection,,정상 패턴에서 크게 벗어난 데이터를 찾아내는 기법.,"분포, 거리, 재구성 오류 등을 기준으로 드문 사건이나 잠재적 문제를 식별한다.",서버 로그에서 비정상 트래픽 탐지.,아웃라이어;모니터링;데이터 드리프트,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-016,머신러닝,AI 기술,추천 시스템,Recommender System,,사용자와 항목의 패턴을 학습해 적합한 콘텐츠나 상품을 제안하는 시스템.,"사용자 행동, 유사 사용자, 항목 특징을 모델링해 개인화된 순위나 후보를 만든다.",쇼핑몰의 개인 맞춤 상품 추천.,랭킹;임베딩;협업 필터링,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-017,머신러닝,AI 기술,시계열 예측,Time Series Forecasting,,시간 순서가 있는 데이터를 바탕으로 미래 값을 예측하는 작업.,"추세, 계절성, 외부 요인을 모델링해 다음 시점의 수요, 가격, 센서 값을 추정한다.",다음 달 재고 수요 예측.,회귀;데이터 드리프트;모델 모니터링,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-018,학습 방법,AI 기술,지도학습,Supervised Learning,,정답 레이블이 있는 데이터로 입력과 출력의 관계를 학습하는 방식.,모델이 예측한 출력과 실제 레이블의 차이를 줄이도록 학습한다.,고객 이탈 여부가 표시된 데이터로 이탈 예측.,분류;회귀;레이블,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-019,학습 방법,AI 기술,비지도학습,Unsupervised Learning,,정답 레이블 없이 데이터의 구조나 패턴을 찾는 방식.,"군집, 차원 축소, 표현 학습처럼 데이터 자체의 관계를 발견하는 데 사용된다.",뉴스 문서를 주제별로 자동 묶기.,군집화;임베딩;차원 축소,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-020,학습 방법,AI 기술,자기지도학습,Self-supervised Learning,,데이터 자체에서 학습 신호를 만들어 표현을 학습하는 방식.,"일부 토큰 예측, 다음 문장 예측, 이미지 일부 복원처럼 사람이 붙인 레이블 없이 훈련 목표를 만든다.",언어 모델이 빈칸 토큰을 맞히며 사전학습.,사전학습;BERT;LLM,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,Devlin et al. - BERT,https://arxiv.org/abs/1810.04805,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-021,학습 방법,AI 기술,준지도학습,Semi-supervised Learning,,소량의 레이블 데이터와 대량의 비레이블 데이터를 함께 쓰는 학습 방식.,레이블 비용이 높은 상황에서 비레이블 데이터의 구조를 활용해 성능을 높인다.,일부만 라벨링된 의료 이미지로 진단 모델 학습.,지도학습;비지도학습;액티브 러닝,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-022,학습 방법,AI 기술,강화학습,Reinforcement Learning,RL,보상과 벌점을 통해 에이전트가 행동 전략을 학습하는 방식.,에이전트가 환경에서 행동하고 받은 보상을 최대화하도록 정책을 개선한다.,게임 AI가 승리에 가까운 행동을 반복 학습.,에이전트;정책;보상,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-023,학습 방법,AI 기술,액티브 러닝,Active Learning,,모델이 학습에 가장 도움이 되는 데이터의 라벨링을 요청하는 방식.,라벨링 비용을 줄이기 위해 불확실하거나 대표성이 큰 샘플을 선택해 사람이 라벨을 붙인다.,분류 모델이 애매한 문서만 리뷰어에게 요청.,준지도학습;레이블;휴먼 인 더 루프,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-024,학습 방법,AI 기술,전이학습,Transfer Learning,,한 문제에서 얻은 지식을 관련 문제에 재사용하는 학습 방식.,사전학습 모델의 표현이나 가중치를 새 도메인에 맞게 조정해 데이터와 계산 비용을 줄인다.,이미지넷 모델을 제품 불량 탐지에 재학습.,사전학습;미세조정;파운데이션 모델,Microsoft Learn - Deep learning vs. machine learning,https://learn.microsoft.com/en-us/azure/machine-learning/concept-deep-learning-vs-machine-learning?view=azureml-api-2,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-025,학습 방법,AI 기술,연합학습,Federated Learning,,데이터를 중앙으로 모으지 않고 여러 장치나 기관에서 모델을 공동 학습하는 방식.,로컬 데이터는 각 참여자에게 남기고 모델 업데이트만 집계해 개인정보 노출을 줄인다.,스마트폰 키보드 예측 모델을 기기별 데이터로 학습.,개인정보보호 ML;차등 개인정보보호;분산 학습,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-026,데이터,AI 기본,특성,Feature,,모델이 입력으로 사용하는 관측값이나 속성.,"원본 데이터에서 예측에 필요한 정보를 수치, 범주, 텍스트 임베딩 등으로 표현한 입력 변수다.","나이, 구매 횟수, 최근 로그인 일수.",특성 공학;레이블;정규화,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-027,데이터,AI 기본,레이블,Label,,지도학습에서 모델이 맞혀야 하는 정답 값.,입력 예제에 붙은 목표 출력이며 분류의 클래스나 회귀의 수치 값이 될 수 있다.,이메일 데이터의 스팸 여부.,지도학습;훈련 데이터;정답,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-028,데이터,AI 기본,훈련 데이터,Training Data,,모델이 패턴을 배우는 데 직접 사용하는 데이터.,모델 파라미터가 손실을 줄이도록 조정되는 학습 과정의 핵심 데이터다.,과거 구매 기록으로 추천 모델을 학습.,검증 데이터;테스트 데이터;데이터 누수,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,EU AI Act - Article 3 Definitions,https://artificialintelligenceact.eu/article/3/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-029,데이터,AI 기본,검증 데이터,Validation Data,,학습 중 모델 선택과 튜닝에 쓰는 별도 데이터.,"하이퍼파라미터 조정, 조기 종료, 모델 비교에 사용하며 최종 성능 보고용 테스트 데이터와 구분한다.",여러 학습률 후보 중 검증 성능이 높은 값을 선택.,훈련 데이터;테스트 데이터;하이퍼파라미터,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,EU AI Act - Article 3 Definitions,https://artificialintelligenceact.eu/article/3/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-030,데이터,AI 기본,테스트 데이터,Test Data,,학습이 끝난 모델의 일반화 성능을 확인하는 별도 데이터.,훈련과 튜닝에 쓰지 않은 데이터로 모델이 새로운 사례에 얼마나 잘 작동하는지 평가한다.,출시 전 보류 데이터셋으로 최종 정확도 측정.,검증 데이터;일반화;벤치마크,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,EU AI Act - Article 3 Definitions,https://artificialintelligenceact.eu/article/3/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-031,데이터,AI 기술,데이터 분할,Dataset Split,,"훈련, 검증, 테스트 용도로 데이터를 나누는 절차.","성능 평가가 오염되지 않도록 목적별 데이터셋을 분리하고, 시간 순서나 그룹 누수도 고려한다.",고객별로 train/validation/test를 나눠 같은 고객이 섞이지 않게 함.,데이터 누수;검증 데이터;테스트 데이터,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
AI-032,데이터,AI 기술,데이터 전처리,Data Preprocessing,,원본 데이터를 모델이 학습할 수 있는 형태로 정리하는 과정.,"결측값 처리, 이상치 처리, 스케일 조정, 인코딩, 토큰화 등 품질과 형식을 맞추는 작업이다.",날짜 문자열을 연월일 숫자 특성으로 변환.,정규화;원-핫 인코딩;특성 공학,AWS - What is Machine Learning?,https://aws.amazon.com/what-is/machine-learning/,Google Machine Learning Glossary,https://developers.google.com/machine-learning/glossary,"두 출처의 정의 범위와 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
