id,category,badge_label,korean_term,english_term,acronym,short_definition,detailed_definition,example,related_terms,source_1_name,source_1_url,source_2_name,source_2_url,verification_note,confidence,audit_status
SEOX-001,검색 기본,검색엔진,검색엔진,Search Engine,,웹 콘텐츠를 발견·색인·순위화해 사용자 질의에 맞는 결과를 보여주는 시스템.,"검색엔진(Search Engine)은 웹 콘텐츠를 발견·색인·순위화해 사용자 질의에 맞는 결과를 보여주는 시스템이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 Google, 네이버, Bing이 질의에 맞는 문서와 기능을 반환 같은 상황에서 쓰이며, 실무 판단 시 크롤링, 색인, SERP와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.","Google, 네이버, Bing이 질의에 맞는 문서와 기능을 반환.",크롤링;색인;SERP,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Central - Search Essentials,https://developers.google.com/search/docs/essentials,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-002,검색 기본,검색엔진,검색 알고리즘,Search Algorithm,,검색 결과의 관련성과 품질을 계산해 순위를 정하는 규칙과 시스템.,"검색 알고리즘(Search Algorithm)은 검색 결과의 관련성과 품질을 계산해 순위를 정하는 규칙과 시스템이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 콘텐츠 품질과 검색 의도 일치도를 기준으로 결과 순서가 바뀜 같은 상황에서 쓰이며, 실무 판단 시 검색 순위, 코어 업데이트, E-E-A-T와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",콘텐츠 품질과 검색 의도 일치도를 기준으로 결과 순서가 바뀜.,검색 순위;코어 업데이트;E-E-A-T,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,Google Search Central - Helpful Content,https://developers.google.com/search/docs/fundamentals/creating-helpful-content,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-003,검색 기본,SEO 지표,검색 순위,Search Ranking,,특정 검색어에서 페이지가 검색 결과에 표시되는 상대적 위치.,"검색 순위(Search Ranking)은 특정 검색어에서 페이지가 검색 결과에 표시되는 상대적 위치이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 지역 병원 키워드에서 랜딩 페이지가 상위에 노출 같은 상황에서 쓰이며, 실무 판단 시 키워드 순위, 평균 게재순위, SERP와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",지역 병원 키워드에서 랜딩 페이지가 상위에 노출.,키워드 순위;평균 게재순위;SERP,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-004,검색 기본,SEO 지표,키워드 순위,Keyword Ranking,,특정 키워드에서 특정 URL이 검색 결과에 나타나는 위치.,"키워드 순위(Keyword Ranking)은 특정 키워드에서 특정 URL이 검색 결과에 나타나는 위치이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 임플란트 비용 키워드의 월별 순위를 추적 같은 상황에서 쓰이며, 실무 판단 시 검색 순위, 검색량, 키워드 난이도와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",임플란트 비용 키워드의 월별 순위를 추적.,검색 순위;검색량;키워드 난이도,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-005,검색 기본,SEO 지표,검색량,Search Volume,,특정 키워드가 일정 기간 동안 검색되는 횟수.,"검색량(Search Volume)은 특정 키워드가 일정 기간 동안 검색되는 횟수이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 월간 검색량이 큰 진료 키워드를 콘텐츠 우선순위에 반영 같은 상황에서 쓰이며, 실무 판단 시 키워드 리서치, 롱테일 키워드, 검색 의도와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",월간 검색량이 큰 진료 키워드를 콘텐츠 우선순위에 반영.,키워드 리서치;롱테일 키워드;검색 의도,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Moz SEO Learning Center,https://moz.com/learn/seo,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,medium,verified
SEOX-006,검색 기본,SEO 지표,키워드 난이도,Keyword Difficulty,KD,특정 키워드에서 상위 노출을 얻기 어려운 정도를 추정한 지표.,"키워드 난이도(Keyword Difficulty)은 특정 키워드에서 상위 노출을 얻기 어려운 정도를 추정한 지표이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 경쟁 병원이 많은 키워드는 더 강한 콘텐츠와 링크가 필요 같은 상황에서 쓰이며, 실무 판단 시 경쟁사 분석, 백링크, 검색량와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",경쟁 병원이 많은 키워드는 더 강한 콘텐츠와 링크가 필요.,경쟁사 분석;백링크;검색량,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Moz SEO Learning Center,https://moz.com/learn/seo,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,medium,verified
SEOX-007,검색 기본,SEO 지표,유기 트래픽,Organic Traffic,,광고가 아닌 자연 검색 결과를 통해 유입된 방문.,"유기 트래픽(Organic Traffic)은 광고가 아닌 자연 검색 결과를 통해 유입된 방문이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 블로그 글이 검색 결과에서 클릭되어 방문이 발생 같은 상황에서 쓰이며, 실무 판단 시 자연 검색, 클릭수, 랜딩 페이지와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",블로그 글이 검색 결과에서 클릭되어 방문이 발생.,자연 검색;클릭수;랜딩 페이지,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Analytics Help,https://support.google.com/analytics/answer/10089681,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-008,검색 기본,기본 용어,랭킹,Ranking,,검색어에 대한 연관순 검색 결과의 나열과 위치.,"랭킹(Ranking)은 검색어에 대한 연관순 검색 결과의 나열과 위치이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 검색 결과 1페이지와 2페이지의 방문 차이를 비교 같은 상황에서 쓰이며, 실무 판단 시 검색 순위, 평균 게재순위, 알고리즘와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",검색 결과 1페이지와 2페이지의 방문 차이를 비교.,검색 순위;평균 게재순위;알고리즘,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-009,검색 기본,기본 용어,쿼리,Query,,사용자가 검색창에 입력하는 검색어 또는 질문.,"쿼리(Query)은 사용자가 검색창에 입력하는 검색어 또는 질문이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 Search Console에서 실제 유입 쿼리를 확인 같은 상황에서 쓰이며, 실무 판단 시 검색 쿼리, 키워드, 자연어 쿼리와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",Search Console에서 실제 유입 쿼리를 확인.,검색 쿼리;키워드;자연어 쿼리,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Search Central - SEO Starter Guide,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
SEOX-010,검색 기본,기본 용어,오가닉,Organic,,유료 광고가 아닌 자연 검색 결과나 자연 유입을 뜻하는 표현.,"오가닉(Organic)은 유료 광고가 아닌 자연 검색 결과나 자연 유입을 뜻하는 표현이다. 자세히 보기에서는 이 용어를 검색 기본 관점에서 이해하면 좋다. 예를 들어 오가닉 검색 유입과 페이드 광고 유입을 분리해 분석 같은 상황에서 쓰이며, 실무 판단 시 자연 검색, 유기 트래픽, 검색 트래픽와 함께 확인해야 한다. 검색엔진 공식 문서와 보조 출처를 대조해 중복 용어를 제거하고, 사이트 카드의 빈 상세 설명을 채우기 위한 보강 항목으로 정리했다.",오가닉 검색 유입과 페이드 광고 유입을 분리해 분석.,자연 검색;유기 트래픽;검색 트래픽,Google Search Console Help,https://support.google.com/webmasters/answer/9128668,Google Analytics Help,https://support.google.com/analytics/answer/10089681,사이트 기존 SEO 용어 66개 중 빈 자세히 보기/본문 보강용. 기존 150개와 정규화 중복 검사를 거쳐 패치 항목으로 분리함.,high,verified
