id,category,badge_label,korean_term,english_term,acronym,short_definition,detailed_definition,example,related_terms,source_1_name,source_1_url,source_2_name,source_2_url,verification_note,confidence,audit_status
MAD-001,마케팅 전략,마케팅 기본,마케팅,Marketing,,고객 가치를 만들고 전달해 수요와 관계를 형성하는 활동.,"고객 가치를 만들고 전달해 수요와 관계를 형성하는 활동. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.","신제품의 고객 문제, 메시지, 채널, 가격을 설계.",광고;브랜드;고객 여정,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,IAB - Glossary of Terminology,https://www.iab.com/insights/glossary-of-terminology/,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-002,마케팅 전략,광고 기본,광고,Advertising,,"대가를 지불하고 메시지를 노출해 인지, 행동, 매출을 유도하는 활동.","대가를 지불하고 메시지를 노출해 인지, 행동, 매출을 유도하는 활동. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.",검색 광고로 상담 신청을 유도.,캠페인;매체;광고 소재,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,IAB - Glossary of Terminology,https://www.iab.com/insights/glossary-of-terminology/,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-003,마케팅 전략,마케팅 기본,브랜드,Brand,,"고객이 특정 제품이나 조직에 대해 떠올리는 이름, 이미지, 신뢰의 총합.","고객이 특정 제품이나 조직에 대해 떠올리는 이름, 이미지, 신뢰의 총합. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.","로고, 톤앤매너, 약속을 일관되게 관리.",브랜드 인지도;포지셔닝;브랜드 세이프티,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,IAB - Glossary of Terminology,https://www.iab.com/insights/glossary-of-terminology/,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-004,마케팅 전략,마케팅 기본,브랜드 인지도,Brand Awareness,,고객이 브랜드를 알고 기억하는 정도.,"고객이 브랜드를 알고 기억하는 정도. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.",도달 캠페인으로 새 브랜드를 알림.,도달;빈도;상단 퍼널,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,Amazon Ads - ACOS Guide,https://advertising.amazon.com/library/guides/acos-advertising-cost-of-sales,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-005,마케팅 전략,마케팅 기본,수요 창출,Demand Generation,,잠재 고객의 관심과 구매 수요를 만드는 마케팅 활동.,"잠재 고객의 관심과 구매 수요를 만드는 마케팅 활동. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.",콘텐츠와 광고로 새로운 카테고리 관심을 만듦.,리드 생성;상단 퍼널;브랜드 인지도,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,Google Analytics Help - Recommended Events,https://support.google.com/analytics/answer/9267735,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-006,마케팅 전략,마케팅 기본,리드 생성,Lead Generation,,구매 가능성이 있는 잠재 고객 정보를 확보하는 활동.,"구매 가능성이 있는 잠재 고객 정보를 확보하는 활동. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.",자료 다운로드 폼으로 이메일을 수집.,리드;CPL;generate_lead,Google Analytics Help - Recommended Events,https://support.google.com/analytics/answer/9267735,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-007,마케팅 전략,마케팅 기본,고객 여정,Customer Journey,,고객이 인지부터 구매와 재구매까지 거치는 단계와 접점.,"고객이 인지부터 구매와 재구매까지 거치는 단계와 접점. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.","광고 클릭, 비교, 장바구니, 구매 흐름 분석.",퍼널;터치포인트;전환,Google Analytics Help - About Events,https://support.google.com/analytics/answer/9322688,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-008,마케팅 전략,전략·전환,마케팅 퍼널,Marketing Funnel,,"인지, 관심, 고려, 전환, 재방문으로 이어지는 고객 여정 단계 구조.","퍼널은 고객이 브랜드를 처음 알고, 관심을 갖고, 비교하고, 문의·구매하고, 다시 방문하기까지의 단계를 구조화한 모델이다. 단계별 이탈률과 전환율을 보면 어느 구간을 개선해야 하는지 알 수 있다.",노출은 많지만 상담 신청이 적어 랜딩 페이지와 CTA를 개선.,고객 여정;상단 퍼널;전환율;그로스 해킹,Google Ads Help,https://support.google.com/google-ads/answer/6319,Google Analytics Help - Recommended Events,https://support.google.com/analytics/answer/9267735,이미지 자료(codex-clipboard-95cebb54-bdda-4f6d-aba0-064d22bed456.png)의 마케팅 용어 카드와 기존 CSV를 대조함. 기존 중복 용어를 병합·보강함; 중복은 영문명·약어·의미 기준으로 병합하고 상세 설명을 보강함.,high,verified
MAD-009,마케팅 전략,마케팅 기본,상단 퍼널,Top of Funnel,TOFU,브랜드나 문제를 처음 알리는 인지 단계.,"브랜드나 문제를 처음 알리는 인지 단계. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.",동영상 광고로 새 고객에게 제품군을 소개.,인지;도달;브랜드 인지도,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,IAB - Glossary of Terminology,https://www.iab.com/insights/glossary-of-terminology/,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
MAD-010,마케팅 전략,마케팅 기본,중단 퍼널,Middle of Funnel,MOFU,관심 고객이 비교하고 검토하는 고려 단계.,"관심 고객이 비교하고 검토하는 고려 단계. 실무에서는 마케팅 전략 맥락에서 목표 설정, 집행, 측정, 최적화, 개인정보 보호 요구를 함께 고려한다.",비교 가이드와 리마케팅으로 제품 이해를 높임.,고려;리타게팅;콘텐츠,Google Ads Help - Google Ads Definition,https://support.google.com/google-ads/answer/6319,Google Analytics Help - About Events,https://support.google.com/analytics/answer/9322688,"공식 광고 플랫폼 문서, 측정 문서, IAB/프로그래매틱 표준 문서의 사용 맥락을 대조했고, 카드 표시용으로 한국어 설명을 압축함.",high,verified
