id,category,badge_label,korean_term,english_term,acronym,short_definition,detailed_definition,example,related_terms,source_1_name,source_1_url,source_2_name,source_2_url,verification_note,confidence,audit_status
DEV-001,백엔드·API,백엔드·API,권한 관리,Authorization,,인증된 사용자가 어떤 리소스와 기능을 사용할 수 있는지 허용 범위를 정하는 것.,"권한 관리(Authorization) 용어는 인증된 사용자가 어떤 리소스와 기능을 사용할 수 있는지 허용 범위를 정하는 것. 자세히 보기에서는 이 용어를 백엔드·API 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 관리자만 예약 데이터 다운로드를 허용. 관련해서는 인증, OAuth 2.0, 최소 권한 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",관리자만 예약 데이터 다운로드를 허용.,인증;OAuth 2.0;최소 권한,OAuth.net - OAuth 2.0,https://oauth.net/2/,OWASP Top 10,https://owasp.org/www-project-top-ten/,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-002,인프라·배포,인프라·배포,깃,Git,,코드 변경 이력을 기록하고 여러 개발자가 분산 협업할 수 있게 하는 버전 관리 시스템.,"깃(Git) 용어는 코드 변경 이력을 기록하고 여러 개발자가 분산 협업할 수 있게 하는 버전 관리 시스템. 자세히 보기에서는 이 용어를 인프라·배포 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 기능 작업 전 브랜치를 만들고 커밋으로 변경점을 남김. 관련해서는 버전 관리, 브랜치, 커밋 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",기능 작업 전 브랜치를 만들고 커밋으로 변경점을 남김.,버전 관리;브랜치;커밋,Git Documentation,https://git-scm.com/docs,Git Glossary,https://git-scm.com/docs/gitglossary,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-003,인프라·배포,인프라·배포,깃허브,GitHub,,"Git 저장소를 클라우드에서 호스팅하고 코드 리뷰, 이슈, 자동화를 함께 관리하는 협업 플랫폼.","깃허브(GitHub) 용어는 Git 저장소를 클라우드에서 호스팅하고 코드 리뷰, 이슈, 자동화를 함께 관리하는 협업 플랫폼. 자세히 보기에서는 이 용어를 인프라·배포 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 풀 리퀘스트로 코드 변경을 검토하고 병합. 관련해서는 저장소, 풀 리퀘스트, GitHub Actions 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",풀 리퀘스트로 코드 변경을 검토하고 병합.,저장소;풀 리퀘스트;GitHub Actions,GitHub Docs - Repositories,https://docs.github.com/en/repositories,GitHub Docs - GitHub Actions,https://docs.github.com/en/actions,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-004,데이터베이스,백엔드·API,데이터베이스,Database,,"데이터를 체계적으로 저장, 검색, 수정, 관리하는 시스템.","데이터베이스(Database) 용어는 데이터를 체계적으로 저장, 검색, 수정, 관리하는 시스템. 자세히 보기에서는 이 용어를 데이터베이스 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 환자 상담 신청 데이터를 테이블에 저장. 관련해서는 SQL, 스키마, 트랜잭션 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",환자 상담 신청 데이터를 테이블에 저장.,SQL;스키마;트랜잭션,PostgreSQL Documentation - What Is PostgreSQL?,https://www.postgresql.org/docs/current/intro-whatis.html,MySQL Documentation,https://dev.mysql.com/doc/,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-005,인프라·배포,인프라·배포,도메인,Domain,,웹사이트 주소로 쓰이는 사람이 읽기 쉬운 인터넷 이름.,"도메인(Domain) 용어는 웹사이트 주소로 쓰이는 사람이 읽기 쉬운 인터넷 이름. 자세히 보기에서는 이 용어를 인프라·배포 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: example.com을 병원 홈페이지 주소로 연결. 관련해서는 DNS, URL, HTTPS 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",example.com을 병원 홈페이지 주소로 연결.,DNS;URL;HTTPS,MDN Web Docs - URL API,https://developer.mozilla.org/en-US/docs/Web/API/URL_API,MDN Web Docs - HTTP,https://developer.mozilla.org/en-US/docs/Web/HTTP,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-006,개발 일반,개발 일반,디버깅,Debugging,,버그의 원인을 찾아 재현하고 수정하는 과정.,"디버깅(Debugging) 용어는 버그의 원인을 찾아 재현하고 수정하는 과정. 자세히 보기에서는 이 용어를 개발 일반 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 문의 폼 제출 실패 로그를 따라 원인을 찾음. 관련해서는 버그, 로그, 테스트 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",문의 폼 제출 실패 로그를 따라 원인을 찾음.,버그;로그;테스트,Git Documentation,https://git-scm.com/docs,MDN Web Docs - JavaScript,https://developer.mozilla.org/en-US/docs/Web/JavaScript,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-007,프론트엔드,프론트엔드,라이브러리,Library,,특정 기능을 미리 구현해 필요할 때 가져다 쓰는 재사용 코드 모음.,"라이브러리(Library) 용어는 특정 기능을 미리 구현해 필요할 때 가져다 쓰는 재사용 코드 모음. 자세히 보기에서는 이 용어를 프론트엔드 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 날짜 선택 UI 라이브러리를 설치해 예약 폼에 사용. 관련해서는 프레임워크, 의존성, 패키지 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",날짜 선택 UI 라이브러리를 설치해 예약 폼에 사용.,프레임워크;의존성;패키지,npm Docs - About npm,https://docs.npmjs.com/about-npm,React Docs - Learn React,https://react.dev/learn,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-008,성능·운영,개발 일반,레이턴시,Latency,,요청을 보낸 뒤 응답이 돌아오기까지 걸리는 지연 시간.,"레이턴시(Latency) 용어는 요청을 보낸 뒤 응답이 돌아오기까지 걸리는 지연 시간. 자세히 보기에서는 이 용어를 성능·운영 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 서버 응답 레이턴시가 높아 상담 페이지가 늦게 열림. 관련해서는 성능, 캐시, 모니터링 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",서버 응답 레이턴시가 높아 상담 페이지가 늦게 열림.,성능;캐시;모니터링,MDN Web Docs - HTTP,https://developer.mozilla.org/en-US/docs/Web/HTTP,web.dev - Core Web Vitals,https://web.dev/articles/vitals,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-009,프론트엔드,프론트엔드,리액트,React,,컴포넌트 단위로 사용자 인터페이스를 구성하는 JavaScript 라이브러리.,"리액트(React) 용어는 컴포넌트 단위로 사용자 인터페이스를 구성하는 JavaScript 라이브러리. 자세히 보기에서는 이 용어를 프론트엔드 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 진료과 카드와 상담 폼을 컴포넌트로 분리. 관련해서는 컴포넌트, 상태, Next.js 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",진료과 카드와 상담 폼을 컴포넌트로 분리.,컴포넌트;상태;Next.js,React Docs - Learn React,https://react.dev/learn,Next.js Docs,https://nextjs.org/docs,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
DEV-010,개발 일반,개발 일반,리팩터링,Refactoring,,겉으로 보이는 동작은 유지하면서 코드 구조와 가독성을 개선하는 작업.,"리팩터링(Refactoring) 용어는 겉으로 보이는 동작은 유지하면서 코드 구조와 가독성을 개선하는 작업. 자세히 보기에서는 이 용어를 개발 일반 관점에서 이해하면 좋다. 실무에서는 요구사항 확인, 구현 방식 선택, 운영 리스크 점검에 함께 쓰이며, 예: 중복된 폼 검증 코드를 공통 함수로 정리. 관련해서는 유지보수, 테스트, 코드 리뷰 항목을 함께 보면 개념 간 차이를 더 명확히 구분할 수 있다.",중복된 폼 검증 코드를 공통 함수로 정리.,유지보수;테스트;코드 리뷰,Git Documentation,https://git-scm.com/docs,GitHub Docs - Repositories,https://docs.github.com/en/repositories,"첨부 마크다운의 기존 개발 용어와 공식 문서의 정의·사용 맥락을 대조했고, 중복 정규화 검사 후 사이트 카드와 자세히 보기 양쪽에 쓸 수 있도록 한국어로 재정리함.",high,verified
